include,id,name,osm_type,district,postcode,address,operator_id,osm_operator,osm_brewery,lat,lng,osm_id,notes
no,hare-and-hounds-e17,Hare and Hounds,pub,E10,E10 7LD,,,,,51.568797,-0.028763,node/472446463,"Postcode is the nearest one found, not from the pub address"
no,king-william-iv-e17,King William IV,pub,E10,E10 6AE,816 High Road Leyton,,,Brodie's,51.574809,-0.011355,way/142241624,
no,prince-of-wales-2-e17,Prince of Wales,pub,E10,E10 5AB,777 High Road Leyton,,,,51.573685,-0.009858,way/444200909,
no,the-auctioneer-e17,The Auctioneer,pub,E10,E10 7DN,596 Lea Bridge Road,,,,51.574469,-0.013768,way/444593912,
no,the-european-e17,The European,pub,E10,E10 7EQ,557-559 Lea Bridge Road,,,,51.574926,-0.013861,way/444642776,
no,blondies-brewery-e17,Blondies Brewery,bar,E10,E10 7JQ,258 Church Road,,,yes,51.569639,-0.024341,way/1013543384,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); May be a brewery taproom (excluded from v1)
no,la-transilvania-e17,La Transilvania,bar,E10,E10 7NE,299 Lea Bridge Road,,,,51.570022,-0.026402,node/6425259206,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); OSM address says E10 but nearest postcode is E17
no,leyton-calling-e17,Leyton Calling,bar,E10,E10 6RE,145 Tilbury Road,,,,51.570363,-0.009424,node/12847089779,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,neckstamper-brewing-e17,Neckstamper Brewing,bar,E10,E10 7QZ,Staffa Road,,,,51.569309,-0.037921,node/7040675187,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); May be a brewery taproom (excluded from v1)
no,patchworks-e17,Patchworks,bar,E10,E10 7JQ,258 Church Road,,,,51.569498,-0.024690,node/9351013737,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,point-cocktails-e17,Point Cocktails,bar,E10,E10 6RE,146 Tilbury Road,,,,51.570295,-0.009261,node/13717302375,"Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); Postcode is the nearest one found, not from the pub address"
no,snooker-lovers-club-and-bar-e17,Snooker Lovers Club & Bar,bar,E10,E10 6AE,788 High Road Leyton,,,,51.574337,-0.010339,way/454663250,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,swirl-e10-e17,Swirl E10,bar,E10,E10 6RE,148 Tilbury Road,,,,51.570233,-0.009110,node/12847089778,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,heathcote-and-star-e17,Heathcote & Star,pub,E11,E11 4EA,344 Grove Green Road,,,,51.565812,0.002139,way/1047662587,
no,northcote-arms-e17,Northcote Arms,pub,E11,E11 4EL,110 Grove Green Road,,,,51.560346,-0.001707,way/935593053,
no,oneills-e17,O'Neill's,pub,E11,E11 3AW,762 High Road Leytonstone,,,,51.570549,0.015241,way/228435778,
no,the-bell-2-e17,The Bell,pub,E11,E11 3HN,468 High Road Leytonstone,stonegate,Stonegate,,51.560880,0.008807,way/507095501,
no,the-cuckfield-e17,The Cuckfield,pub,E11,E11 2AA,31 High Street,,,,51.579363,0.025020,way/99878205,
no,the-north-star-e17,The North Star,pub,E11,E11 3AR,24 Browning Road,,,,51.569861,0.015481,way/511586538,
no,the-old-crown-e17,The Old Crown,pub,E11,E11 3AA,692 High Road Leytonstone,,,,51.569083,0.012308,way/310789678,
no,the-red-lion-e17,The Red Lion,pub,E11,E11 3AA,640 High Road Leytonstone,,Antic London,,51.567912,0.011163,way/28836414,
no,the-walnut-tree-e17,The Walnut Tree,pub,E11,E11 1HH,857-861 High Road Leytonstone,,,,51.569866,0.012650,way/511169062,
no,toby-carvery-e17,Toby Carvery,pub,E11,E11 1PE,73 Hollybush Hill,,,,51.583254,0.020846,way/1069433877,OSM address says E11 but nearest postcode is E18
no,node-9949676340-e17,,bar,E11,E11 4AP,,,,,51.565990,0.002861,node/9949676340,"No name in OpenStreetMap; Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); Postcode is the nearest one found, not from the pub address"
no,way-509678907-e17,,bar,E11,E11 1HG,7 Church Lane,,,,51.568216,0.010353,way/509678907,No name in OpenStreetMap; Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,calamity-tank-e17,Calamity Tank,bar,E11,E11 4RE,1 Station Approach,,,,51.563111,0.009283,node/13284007987,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,legends-snooker-academy-e17,Legends Snooker Academy,bar,E11,E11 3DA,628-632 High Road Leytonstone,,,,51.567401,0.011287,way/509649624,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,stone-mini-market-e17,Stone Mini Market,bar,E11,E11 4RD,719 High Road Leytonstone,,,,51.565226,0.009774,way/513305723,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,slug-and-lettuce-e17,Slug and Lettuce,pub,E18,E18 1AY,184 George Lane,,,,51.594452,0.024039,node/1975218592,
